"","clave","asignatura","tasa_rep_asig"
"64","DP0194","Desarrollo de habilidades del pensamiento",19.6881091617934
"66","II0209","Cálculo integral",34.0369393139842
"67","IL0102","Teoría general de sistemas",12.9032258064516
"69","ID0262","Contabilidad y costos para ingeniería",3.79746835443038
"74","ID3416","Diseño multimedia",10.126582278481
"81","IT0212","Tecnologías de conmutación de paquetes",0
"83","IT0210","Programación orientada a objetos",14.8351648351648
"87","IL0414","Taller de argumentación y técnicas de negociación",1.2987012987013
"106","ID3418","TIC para la educación",2.10526315789473
"115","ID3471","Realidad virtual",0
"117","ID0411","Cómputo de alto desempeño",10.3448275862069
"119","ID3417","Diseño de juegos",7.89473684210527
"121","ID0414","Seguridad de datos",2.75229357798165
"122","PID0404","Prácticas Profesionales preespecialidad: Innovación en TIC",4.54545454545454
"125","ID3415","Cómputo ubicuo",4.65116279069767
"126","ID3419","TIC para la salud",7.69230769230769
"133","PIT0302","Prácticas profesionales II",0
"173","LI1104","Nivel 4 Inglés",13.4730538922156
"175","AD0018","Yoga",7.40740740740741
"249","AD0007","Preparación física avanzada",0
"250","TA0006","Apreciación cinematográfica",9.67741935483871
"260","II0102","Física experimental",0
"295","ID0103","Organización y diseño de computadoras",39.4736842105263
"296","ID0264","Innovación disruptiva",9.09090909090909
"306","LI1103","Nivel 3 Inglés",12.0253164556962
"309","DP0295","Taller de formación en responsabilidad social y ambiental",5.21172638436482
"310","II0215","Electricidad y magnetismo",26.7123287671233
"320","AD0003","Basquetbol",5.88235294117647
"322","TA0030","Entrenamiento auditivo musical",20.5882352941177
"344","ID3469","Internet de las cosas",0
"361","LI1102","Nivel 2 Inglés",13.1756756756757
"368","TA0029","Instrumentos de cuerdas orquestales",0
"391","IT3472","Principios de automatización y robótica",4.25531914893616
"407","ID3472","Tópicos selectos en ingeniería de datos",0
"445","AD0014","Tenis de mesa",0
"458","TA0002","Guitarra",3.27868852459017
"478","AD0013","Tenis",4.87804878048781
"481","TA0019","Salsa y merengue",4.76190476190477
"523","ID3474","Sistemas de información geográfica",8.33333333333334
"590","TA0017","Dibujo y pintura",6.25
"667","II0423","Métodos numéricos por computadora",0
"734","IL3422","Liderazgo y equipos de trabajo",4.39560439560439
"813","AD0010","Taller de ajedrez",3.84615384615384
"842","TA0009","Radio",0
"879","ID3466","Gobierno de datos y redes sociales",1.01010101010101
"883","AD0011","Tocho bandera",0
"947","TA0008","Coro",0
"1278","ID3468","Herramientas para la gestión de grandes volúmenes de datos",0
"1304","ID0265","Programación web",13.6842105263158
"1364","LI1101","Nivel 1 Inglés",16.7832167832168
"1548","AD0002","Voleibol",0
"1761","TA0005","Fotografía",9.09090909090909
"1933","AD0001","Fútbol",0
"2333","TA0010","Bailes caribeños",0
"2364","TA0031","Canto",11.1111111111111
"3037","TA0035","Taller de lengua de señas mexicana",0
"3335","TA0032","Ritmos Latinos",0
"3580","AD0016","Natación",9.09090909090909
"3999","TA0023","Escritura creativa",0
"5616","TA0020","Encuadernación",0
"6474","TA0034","Apreciación e historia del arte",0
"16237","II0002","Propedéutico de matematicas para ingenierias",0
