"recursada","tasa_rep_carga","quintil_asig","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","tasa_rep_doc","tasa_aprob_per_prev","asigMuchas","año_encurso","complejidad_carga5","semestre_Otoño","carga_aprobada","total_recursando","situacion_Irregular"
0,9.1619462371492,2,1228,1204,1228,1180,8.8,8.51063829787234,1,0,5,1,0,1,1,1
0,15.967811213017,4,1204,1204,1132,1132,8.4,20.5128205128205,0,0,2,1,0,1,0,0
0,9.90566037735849,4,1204,1204,1132,1132,10,36.9747899159664,1,0,2,1,1,1,0,0
0,12.0383629493461,4,1204,1204,1132,1132,8,7.95454545454546,1,0,3,1,0,1,0,0
0,14.4816174930196,3,1204,1204,1132,1132,9,17.5,1,0,3,1,1,1,0,0
0,16.7583946447066,2,1204,1204,1132,1132,9,3.03030303030303,1,0,4,2,0,0,0,0
0,10.4384121625501,5.1,1204,1204,1132,1132,7,33.9055793991416,0.5,0,4,1,1,0,0,1
1,11.7522793870912,5.2,1204,1204,1132,1132,5.33333333333333,20.5374280230326,0,0,5,1,0,0,1,1
0,19.0969096130813,4,1180,1156,1108,1156,8.4,7.40740740740741,0,1,2,4,0,1,0,0
0,18.1964855908497,5.2,1180,1156,1108,1156,9.14285714285714,39.6825396825397,1,1,2,4,1,1,0,0
0,9.83164359122254,4,1180,1156,1108,1156,8.85714285714286,20.5128205128205,1,0,3,4,0,1,0,0
0,14.7140721180732,4,1180,1156,1108,1156,8.5,7.70712909441233,1,0,3,4,1,1,0,0
0,18.3991979248509,3,1180,1156,1108,1156,8.8,3.37078651685393,1,0,4,2,0,1,0,0
0,9.22311803181819,5.1,1180,1156,1108,1156,8.8,20.5374280230326,1,1,4,2,1,1,0,0
0,8.50703021185677,2,1180,1156,1108,1156,8.85714285714286,4,1,0,5,3,0,1,0,0
0,4.24419817836075,4,1180,1156,1108,1156,8.66666666666667,6.92307692307692,1,1,5,3,1,1,0,0
0,20.2150796291397,4,1252,1228,1228,1204,8.4,7.40740740740741,0,0,2,4,0,1,0,0
0,14.4571634115505,4,1252,1228,1228,1204,9,10.2848101265823,1,0,2,4,1,1,0,0
0,7.36021874747918,5.1,1252,1228,1228,1204,8.8,33.029197080292,1,0,3,2,0,1,0,0
0,26.9345235454255,5.1,1252,1228,1228,1204,8.83333333333333,0,1,0,3,5,1,1,0,0
0,17.1757148692461,5.2,1252,1228,1228,1204,9.8,48.1949458483754,1,0,4,4,0,1,0,0
0,7.85540284320746,2,1252,1228,1228,1204,9,16.0493827160494,1,0,4,2,1,1,0,0
0,1.06382978723404,1,1252,1228,1228,1204,9.5,14.2105263157895,1,0,5,1,0,1,0,0
0,2.4353363331296,1,1252,1228,1228,1204,8,33.9055793991416,1,1,5,3,1,1,0,0
0,11.7800502618602,5.1,1252,1180,1036,1036,8.4,0,0,0,2,4,0,1,0,0
0,12.6838629247754,5.1,1252,1180,1036,1036,8.66666666666667,33.9055793991416,1,0,2,2,1,1,0,0
0,14.3756088044822,4,1252,1180,1036,1036,9.8,13.4146341463415,1,1,3,1,0,1,0,0
0,16.0471810678914,5.2,1252,1180,1036,1036,8.85714285714286,33.029197080292,1,0,3,1,1,1,0,0
0,4.20265014173644,3,1252,1180,1036,1036,8.8,3.37078651685393,1,0,4,1,0,1,0,0
0,9.30493398103002,4,1252,1180,1036,1036,8.5,10.3896103896104,1,0,5,4,0,1,0,0
0,3.8579541035042,2,1252,1180,1036,1036,8.75,38.3419689119171,1,0,5,3,1,0,0,0
0,24.1477115806223,5.2,916,1036,964,988,8.4,17.2413793103448,0,0,2,1,0,1,0,0
0,16.768910573544,4,916,1036,964,988,8.33333333333333,12,1,0,2,4,1,1,0,0
0,11.1249482629374,5.1,916,1036,964,988,8.25,8.57814336075205,1,0,3,2,0,1,0,0
0,7.2458636451426,4,916,1036,964,988,9.2,24.4791666666667,1,0,3,1,1,1,0,0
0,16.223437364823,5.2,916,1036,964,988,9.5,39.6825396825397,1,0,4,1,0,1,0,0
0,12.1694947100245,4,916,1036,964,988,9,17.7700348432056,1,0,4,3,1,0,0,0
1,9.07454294918805,4,916,1036,964,988,8.33333333333333,15.702479338843,1,0,5,1,0,1,1,1
0,12.1955833631758,5.1,916,1036,964,988,9,33.029197080292,1,1,5,3,1,1,0,0
0,19.2777727194553,5.2,1228,1228,1204,1228,8.4,39.6825396825397,0,0,2,1,0,0,0,0
0,8.52425876010782,4,1228,1228,1204,1228,4.33333333333333,36.9747899159664,1,0,2,1,1,1,1,0
0,21.9681395030833,4,1228,1228,1204,1228,7.5,13.4146341463415,1,0,3,4,0,1,1,1
0,15.3689420022415,5.2,1228,1228,1204,1228,8.4,33.5640138408305,1,0,3,4,1,0,0,0
0,14.6383247987216,3,1228,1228,1204,1228,8,3.37078651685393,1,1,4,2,0,0,0,1
0,21.020397960204,5.1,1228,1228,1204,1228,5.57142857142857,33.029197080292,0.5,0,4,1,1,1,0,1
1,12.3718104965798,5.2,1228,1228,1204,1228,9,20.5374280230326,1,0,5,1,0,0,3,0
0,6.17089722429902,2,1228,1228,1204,1228,7,4.5045045045045,0.5,0,5,3,1,0,0,1
0,23.3869727358046,5.2,1084,1132,964,1108,8.4,39.6825396825397,0,1,2,5,0,1,0,0
0,13.2340804223322,5.1,1084,1132,964,1108,8,33.9055793991416,1,0,2,4,1,1,0,0
0,5.23484250669617,1,1084,1132,964,1108,8.83333333333333,0,1,0,3,1,0,1,0,0
0,16.4139362925101,5.2,1084,1132,964,1108,8.83333333333333,39.6825396825397,1,0,3,4,1,1,0,0
0,17.1208220489964,5.2,1084,1132,964,1108,8.8,48.1949458483754,1,0,4,1,0,0,0,0
0,8.29485329124216,2,1084,1132,964,1108,8,8.51063829787234,0.666666666666667,1,5,3,0,1,1,1
0,6.75816465880768,2,1084,1132,964,1108,9.14285714285714,3.37078651685393,1,1,5,3,1,1,0,0
0,17.2144623738116,5.2,1252,1252,1228,1180,8.4,17.2413793103448,0,0,2,1,0,0,0,0
0,21.1791856161675,5.1,1252,1252,1228,1180,7.6,14.2857142857143,1,0,2,5,1,1,0,1
0,0,1,1252,1252,1228,1180,8.83333333333333,33.5640138408305,1,0,3,1,0,1,0,0
0,34.2465753424658,5.2,1252,1252,1228,1180,9,20.5374280230326,1,0,3,1,1,1,0,0
0,14.0921646901158,3,1252,1252,1228,1180,9,3.37078651685393,1,1,4,2,0,1,0,0
0,6.46407739681135,3,1252,1252,1228,1180,8.71428571428571,3.36538461538461,1,0,4,2,1,1,0,0
0,5.45827952460145,2,1252,1252,1228,1180,8.6,4,1,1,5,3,0,1,0,0
0,3.47688583021448,2,1252,1252,1228,1180,8.71428571428571,6.16438356164384,1,1,5,3,1,0,0,0
0,25.802333180047,5.2,1108,1156,1132,940,8.4,17.2413793103448,0,0,2,1,0,1,0,0
0,13.4753699950855,3,1108,1156,1132,940,9,5.55555555555556,1,0,2,4,1,1,0,0
0,34.4303797468354,5.2,1108,1156,1132,940,8.5,44,1,0,3,1,0,1,0,0
0,13.9355826432508,5.1,1108,1156,1132,940,8,0,1,0,3,1,1,1,0,0
0,21.1409163588382,3,1108,1156,1132,940,9,3.37078651685393,1,0,4,1,0,0,0,0
0,11.6165293312136,2,1108,1156,1132,940,7.75,16.0493827160494,0.666666666666667,0,4,2,1,1,0,1
0,6.3919259882254,2,1108,1156,1132,940,9.33333333333333,3.37078651685393,1,0,5,1,1,1,0,0
0,16.7469681885136,1,1180,1252,1060,1156,8.4,0,0,1,2,4,0,1,0,0
0,23.8211845984644,5.2,1180,1252,1060,1156,8.25,39.6825396825397,1,0,2,1,1,1,0,0
0,6.11421833295539,1,1180,1252,1060,1156,8,12.8205128205128,1,1,3,2,0,1,0,0
0,22.1068430514528,5.2,1180,1252,1060,1156,8.85714285714286,20.5374280230326,1,0,3,4,1,1,0,0
0,20.5186178921016,5.2,1180,1252,1060,1156,8.4,20.5374280230326,1,0,4,1,0,0,0,0
0,9.26072208139858,3,1180,1252,1060,1156,6,3.36538461538461,1,0,4,2,1,0,0,1
1,7.43803802229667,3,1180,1252,1060,1156,8.33333333333333,4,1,1,5,3,0,0,1,1
0,2.53954247181849,2,1180,1252,1060,1156,7.71428571428571,6.16438356164384,0,1,5,3,1,1,0,1
0,10.602129075183,4,1180,1276,1156,1180,8.4,20.5128205128205,0,0,2,1,0,1,0,0
0,9.90566037735849,4,1180,1276,1156,1180,9,36.9747899159664,1,0,2,1,1,1,0,0
0,23.361849364548,3,1180,1276,1156,1180,7,18.6046511627907,1,0,3,1,0,1,0,0
0,11.2071184791532,4,1180,1276,1156,1180,8,13.4146341463415,1,0,3,1,1,1,0,0
0,13.3959839779407,5.1,1180,1276,1156,1180,8.25,7.69230769230769,1,1,4,2,0,0,0,0
0,10.8564929064486,2,1180,1276,1156,1180,8.42857142857143,16.0493827160494,0.666666666666667,0,4,2,1,1,0,1
0,9.7106555626735,1,1180,1276,1156,1180,8.6,14.2105263157895,1,0,5,1,0,0,0,0
0,11.7788031131205,4,1180,1276,1156,1180,6.66666666666667,2.84552845528455,0,0,5,3,1,0,0,1
0,19.1393922154441,5.2,1156,1156,1108,1108,8.4,0,0,1,2,4,0,1,0,0
0,22.3519737519899,5.2,1156,1156,1108,1108,8.71428571428571,39.6825396825397,1,0,2,4,1,1,0,0
0,7.76922918600965,3,1156,1156,1108,1108,8.25,7.01754385964912,1,0,3,2,0,1,0,0
0,20.5999937363843,4,1156,1156,1108,1108,8.83333333333333,12,1,0,3,4,1,1,0,0
0,21.0075067712358,3,1156,1156,1108,1108,7.8,3.37078651685393,1,0,4,1,0,1,0,0
0,9.17300278315297,3,1156,1156,1108,1108,8.5,3.36538461538461,1,0,4,2,1,1,0,0
0,11.5057604962889,4,1156,1156,1108,1108,8.83333333333333,17.7700348432056,1,0,5,1,0,1,0,0
0,3.44458707744972,2,1156,1156,1108,1108,8,3.37078651685393,1,0,5,1,1,1,0,0
0,13.4872236185826,5.1,1180,1276,1108,1228,8.4,0,0,0,2,1,0,1,0,0
0,25.9331689763642,5.2,1180,1276,1108,1228,7.83333333333333,0,1,0,2,4,1,1,0,0
0,15.3219577747121,4,1180,1276,1108,1228,8.75,7.95454545454546,1,0,3,1,0,1,0,0
0,15.3212568910211,5.2,1180,1276,1108,1228,8.66666666666667,22.4719101123595,1,1,3,4,1,1,0,0
0,17.5685161693505,5.2,1180,1276,1108,1228,8.375,48.1949458483754,1,1,4,2,0,0,0,0
0,11.9331606001265,2,1180,1276,1108,1228,7.85714285714286,38.3419689119171,0.75,1,4,2,1,1,0,1
1,7.22703789358688,5.1,1180,1276,1108,1228,9.22222222222222,33.029197080292,1,0,5,3,0,1,1,1
0,3.91316884544487,2,1180,1276,1108,1228,8.83333333333333,6.16438356164384,1,1,5,3,1,1,0,0
0,10.5646317428037,4,1060,964,964,1012,8.4,48.1949458483754,0,0,2,4,0,1,0,0
0,7.58822605481531,3,1060,964,964,1012,8.2,48.7012987012987,1,0,2,2,1,1,0,0
0,8.71829181091548,1,1060,964,964,1012,9.33333333333333,12.8205128205128,1,0,3,1,0,1,0,0
0,14.5377586438872,3,1060,964,964,1012,9,3.30578512396694,1,0,3,2,1,1,0,0
0,9.25451585564685,2,1060,964,964,1012,9,8.51063829787234,1,0,5,1,0,1,0,0
0,10.2977512014001,2,1060,964,964,1012,8.8,11.4285714285714,1,0,5,3,1,1,0,0
0,39.5793499043977,5.2,1156,1228,1108,1156,8.4,17.2413793103448,0,0,2,1,0,1,0,0
0,22.1181449661078,3,1156,1228,1108,1156,10,5.55555555555556,1,0,2,1,1,1,0,0
0,11.377564673391,4,1156,1228,1108,1156,8.33333333333333,13.4146341463415,1,0,3,2,0,1,0,0
0,19.5424165392636,4,1156,1228,1108,1156,9.16666666666667,10.2848101265823,1,1,3,5,1,1,0,0
0,20.1799896597306,5.2,1156,1228,1108,1156,8.71428571428571,48.1949458483754,1,0,4,5,0,0,0,0
0,10.8323486530252,5.1,1156,1228,1108,1156,8.16666666666667,33.029197080292,0.75,0,4,2,1,1,0,1
0,9.1619462371492,4,1156,1228,1108,1156,8.83333333333333,10.3896103896104,1,0,5,1,0,1,1,1
0,7.23821569829646,2,1156,1228,1108,1156,9.2,6.16438356164384,1,1,5,3,1,1,0,0
0,7.66111729946242,4,1012,1108,916,1108,8.4,26.4150943396226,0,0,2,2,1,1,0,0
0,17.1356324836864,3,1012,1108,916,1108,9.25,22.2222222222222,1,0,3,1,0,1,0,0
0,21.3067456201354,4,1012,1108,916,1108,7.66666666666667,4.16666666666666,1,0,3,1,1,1,0,0
0,26.4179934690327,4,1012,1108,916,1108,8.66666666666667,7.70712909441233,1,1,4,4,0,0,0,0
0,14.9836606727793,4,1012,1108,916,1108,5.71428571428571,49.5049504950495,0.5,1,4,4,1,0,1,1
1,13.9870612103764,5.2,1012,1108,916,1108,6.57142857142857,33.5640138408305,1,0,5,2,0,0,1,1
