"matricula","carrera","periodo","numRepPrev","año","semestre","recursada","cantidad_asig","tasa_rep_carga","tasa_rep_asig","quintil_asig","asignatura","ceneval_global","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","tasa_rep_doc_asig","tasa_rep_doc","generacion","tasa_aprob_per_prev","tasa_aprob_gral_prev","asigMuchas","cuartil_repEst","asigRep_totalAsig","año_encurso","complejidad_carga4","complejidad_carga","complejidad_carga5","semestre_Otoño","carga_aprobada","recursando","total_recursando","practicante","situacion","situacion_Condicionado","situacion_Irregular","situacion_Regular"
140300032,"Ingeniería en Datos e Inteligencia Organizacional",201701,0,2017,"Primavera",0,3,6.89397337661782,4.08163265306123,2,"Problemas de MÃ©xico",1090,1156,1012,1084,1108,8.5,0,0,2014,1,1,0,1,0,4,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300032,"Ingeniería en Datos e Inteligencia Organizacional",201703,0,2017,"Otoño",0,5,17.9526117954064,3.79746835443038,2,"Contabilidad y costos para ingenierÃ­a",1090,1156,1012,1084,1108,7.66666666666667,3.70370370370371,3.70370370370371,2014,1,1,0,1,0,4,4,5,1,1,1,0,0,0,"Regular",0,0,1
140300032,"Ingeniería en Datos e Inteligencia Organizacional",201801,0,2018,"Primavera",0,4,21.078147665437,25.5605381165919,5.2,"GeometrÃ­a computacional",1090,1156,1012,1084,1108,8.6,31.7757009345794,20.5374280230326,2014,1,1,0,1,0,5,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300032,"Ingeniería en Datos e Inteligencia Organizacional",201803,0,2018,"Otoño",0,4,8.08009674601419,5.40540540540541,3,"PlaneaciÃ³n estratÃ©gica",1090,1156,1012,1084,1108,8.75,5.40540540540541,3.36538461538461,2014,1,1,0,1,0,5,3,6,2,1,1,0,0,0,"Regular",0,0,1
140300032,"Ingeniería en Datos e Inteligencia Organizacional",201901,0,2019,"Primavera",0,6,7.82675810301323,18.716577540107,5.1,"ElectrÃ³nica analÃ³gica",1090,1156,1012,1084,1108,9.25,32.0388349514563,33.029197080292,2014,1,1,0,1,0,6,3,6,3,0,1,0,0,0,"Regular",0,0,1
140300032,"Ingeniería en Datos e Inteligencia Organizacional",201903,0,2019,"Otoño",0,7,4.85051220384086,9.61538461538461,4,"Seminario de investigaciÃ³n",1090,1156,1012,1084,1108,8.66666666666667,0,6.92307692307692,2014,1,1,1,1,0,6,3,6,3,1,1,0,0,0,"Regular",0,0,1
140300032,"Ingeniería en Datos e Inteligencia Organizacional",202001,0,2020,"Primavera",0,7,3.1807385412493,7.69230769230769,3,"TIC para la salud",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,8.85714285714286,3.33333333333333,4.5045045045045,2014,1,1,1,1,0,7,3,6,3,0,1,0,0,0,"Regular",0,0,1
140300042,"Ingeniería en Datos e Inteligencia Organizacional",201601,0,2016,"Primavera",0,4,15.1149528010052,0,1,"IntroducciÃ³n a las base de datos",1138,1084,1180,1108,1180,8.4,0,0,2014,0,0,0,1,0,3,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300042,"Ingeniería en Datos e Inteligencia Organizacional",201603,0,2016,"Otoño",0,6,10.7540629407689,14.2259414225941,5.1,"TÃ³picos  2",1138,1084,1180,1108,1180,9,14.2857142857143,14.2857142857143,2014,1,1,0,1,0,3,1,7,1,1,1,0,0,0,"Regular",0,0,1
140300042,"Ingeniería en Datos e Inteligencia Organizacional",201701,0,2017,"Primavera",0,5,12.5684433289923,18.716577540107,5.1,"ElectrÃ³nica analÃ³gica",1138,1084,1180,1108,1180,8.16666666666667,32.0388349514563,33.029197080292,2014,1,1,0,1,0,4,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300042,"Ingeniería en Datos e Inteligencia Organizacional",201703,0,2017,"Otoño",0,4,21.7254185436911,38.8157894736842,5.2,"FÃ­sica clÃ¡sica",1138,1084,1180,1108,1180,8.6,34.7368421052632,33.5640138408305,2014,1,1,0,1,0,4,4,5,1,1,1,0,0,0,"Regular",0,0,1
140300042,"Ingeniería en Datos e Inteligencia Organizacional",201801,0,2018,"Primavera",0,4,20.701445260337,41.8390804597701,5.2,"DiseÃ±o de patrones para datos estructurados",1138,1084,1180,1108,1180,9,51.4056224899598,48.1949458483754,2014,1,1,0,1,0,5,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300042,"Ingeniería en Datos e Inteligencia Organizacional",201803,0,2018,"Otoño",0,2,6.34924174843889,2.10526315789473,2,"TIC para la educaciÃ³n",1138,1084,1180,1108,1180,9,0,38.3419689119171,2014,1,1,0,1,0,5,4,5,1,1,1,0,0,0,"Regular",0,0,1
140300042,"Ingeniería en Datos e Inteligencia Organizacional",201901,0,2019,"Primavera",0,5,5.64879421559449,3.57142857142857,2,"IngenierÃ­a de software",1138,1084,1180,1108,1180,8,0,4,2014,1,1,0,1,0,6,3,6,3,0,1,0,0,0,"Regular",0,0,1
140300042,"Ingeniería en Datos e Inteligencia Organizacional",201903,0,2019,"Otoño",0,2,1.21951219512195,0,1,"Realidad virtual",1138,1084,1180,1108,1180,8.2,0,38.3419689119171,2014,1,1,0,1,0,6,4,5,1,1,1,0,0,0,"Regular",0,0,1
140300042,"Ingeniería en Datos e Inteligencia Organizacional",202001,0,2020,"Primavera",0,5,5.11614277875258,2.75229357798165,2,"Seguridad de datos",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,8.5,3.44827586206896,2.84552845528455,2014,1,1,0,1,0,7,3,6,3,0,0,0,0,0,"Regular",0,0,1
140300042,"Ingeniería en Datos e Inteligencia Organizacional",202003,2,2020,"Otoño",0,2,7.08041958041958,4.54545454545454,3,"PrÃ¡cticas Profesionales preespecialidad: InnovaciÃ³n en TIC",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,5.6,4.54545454545454,5.40540540540541,2014,1,1,0,4,0.4,7,4,5,1,1,1,1,1,0,"Irregular",0,1,0
140300042,"Ingeniería en Datos e Inteligencia Organizacional",202101,0,2021,"Primavera",0,2,3.20277437780498,1.75438596491229,2,"Proyecto terminal",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,8.5,2.38095238095238,6.16438356164384,2014,1,1,0,1,0,8,3,6,1,0,1,1,1,0,"",0,0,0
140300055,"Ingeniería en Datos e Inteligencia Organizacional",201601,0,2016,"Primavera",0,3,14.778680041398,0,1,"Teatro",1138,1132,1180,1132,1108,8.4,0,4.54545454545454,2014,0,0,0,1,0,3,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300055,"Ingeniería en Datos e Inteligencia Organizacional",201603,0,2016,"Otoño",0,4,7.91560979005486,4.08163265306123,2,"Problemas de MÃ©xico",1138,1132,1180,1132,1108,8.66666666666667,0,0,2014,1,1,0,1,0,3,4,5,1,1,1,0,0,0,"Regular",0,0,1
