"tasa_rep_carga","quintil_asig","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","tasa_rep_doc","tasa_aprob_per_prev","año_encurso","complejidad_carga5","total_recursando","recursada","asigMuchas","semestre_Otoño","carga_aprobada","situacion_Irregular"
0.558373872174636,0.476190476190476,0.75,0.952380952380952,0.7,0.8,0.7,0.250447227191413,1,0.4,0,0,0,0,0,1,0
0.737631428998925,0.714285714285714,0.3,0.238095238095238,0.55,0.1,0.6375,0.183566433566433,0.428571428571429,0.2,0,0.2,0,0,0,0,0
0.624678668831251,0.976190476190476,0.15,0.142857142857143,0.35,0.25,0.84,0.23042273042273,0,0,1,0,0,1,1,0,0
0.395518046955376,0.476190476190476,0.35,0.714285714285714,0.65,0.65,0.614285714285714,0.0928381962864721,0.5,0.2,0.25,0.4,0,1,1,0,1
0.624678668831251,1,0.55,0.523809523809524,0.4,0.55,0.84,0.444623806850085,0,0,1,0,0,1,1,0,0
0.115932571904988,0.714285714285714,0.7,0.428571428571429,0.55,0.65,0.866666666666667,0.0931952662721893,1,1,0.5,0,0,1,1,1,0
0.465785653939326,0.714285714285714,0.5,0.761904761904762,0.6,0.8,0.84,0.0641025641025642,0,0,0,0,0,0,1,1,0
0.408156166797506,0.714285714285714,0.8,0.80952380952381,0.95,0.7,0.675,0.138449367088608,0.625,0.2,0.75,0.2,0,1,0,0,1
0.63924310958694,1,0.75,0.761904761904762,0.8,1,0.9125,0.648778117189669,1,0.2,1,0,0,1,0,1,0
0.576085359019445,0.714285714285714,0.7,0.857142857142857,0.5,0.7,0.875,0.138449367088608,1,0.2,0.75,0,0,1,0,1,0
0.185693115160121,0.476190476190476,0.7,0.714285714285714,0.6,0.65,0.825,0.0944669365721997,1,0.4,0.25,0,0,0,0,1,0
0.387757980972418,1,0.2,0.476190476190476,0.3,0.4,0.95,0.534188034188034,1,0.6,0,0,0,0,0,1,0
0.707660683873725,1,0.85,0.714285714285714,0.6,0.7,0.84,0.655594405594405,0,0,0,0,0,0,1,0,0
0.718715732561634,1,0.45,0.666666666666667,0.55,0.55,0.9,0.276465377233131,1,0.2,1,0,0,0,1,1,0
0.519616784782126,1,0.8,0.761904761904762,0.65,0.55,0.857142857142857,0.666412795125666,1,0.4,1,0,0,1,0,0,0
0.438186813186813,0.976190476190476,0.55,0.666666666666667,0.55,0.85,0.914285714285714,0.115475006779354,1,0.2,0,0,0,0,0,1,0
